zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2005,3,6,19964,19544,19390,19442,19755,20008,20768,22784,22850,20927,19005,17060,16065,15334,14535,13955,13712,14372,16392,18253,18355,17157,16089,15146
2,2005,3,6,162096,160890,160924,158962,163197,165197,171989,179586,183793,184259,177069,169932,162912,155127,151681,148210,149373,153728,171318,175893,175858,166342,155411,145988
3,2005,3,6,174901,173600,173637,171521,176090,178248,185577,193773,198312,198815,191058,183358,175783,167383,163665,159918,161173,165872,184853,189788,189752,179483,167689,157521
4,2005,3,6,528,499,469,486,497,524,555,630,649,640,583,565,533,515,470,450,446,459,547,584,557,564,485,470
5,2005,3,6,9061,8697,8595,8669,8941,9360,10058,11353,11357,10743,9518,8708,7979,7666,7139,6799,6821,7513,9078,9787,9346,8559,7470,6591
6,2005,3,6,171157,169587,169519,167631,172138,174557,182047,190938,195150,195002,186587,178641,170891,162793,158821,155009,156194,161240,180397,185680,185204,174900,162881,152579
7,2005,3,6,174901,173600,173637,171521,176090,178248,185577,193773,198312,198815,191058,183358,175783,167383,163665,159918,161173,165872,184853,189788,189752,179483,167689,157521
8,2005,3,6,4091,3971,3975,3966,4031,4158,4394,4671,4894,4587,4337,4038,3954,3763,3658,3484,3433,3684,3978,4323,4373,4114,3656,3362
9,2005,3,6,61215,61131,73038,74193,73710,73689,73878,75096,78477,78414,78309,67053,64911,63084,60921,61215,61929,69930,74487,74508,76944,77448,76629,76713
10,2005,3,6,26459,25979,25727,25916,26132,26571,27651,29141,29078,28182,26577,24758,23443,22547,21643,20846,20539,21372,24689,26016,25642,24452,22705,20918
11,2005,3,6,113552,112515,113244,113990,115297,118413,123465,126818,127719,123253,116518,109167,102730,97040,92612,90533,91422,96442,108707,114405,111904,105168,96091,87815
12,2005,3,6,140417,137418,137204,138264,140202,144008,151202,158880,162387,158535,150325,141126,131401,124326,120811,119564,120525,127682,145115,152004,148516,138547,126464,113857
13,2005,3,6,21302,20466,20255,20117,20381,19468,20870,23112,24324,23998,22268,20744,19854,19037,17665,17104,17141,18129,20699,22435,21949,20847,20542,18568
14,2005,3,6,27740,27713,27946,28668,29345,27609,29112,31274,31452,28163,24271,21581,19871,18530,17358,16539,16488,17388,20470,22236,22497,21599,21567,19537
15,2005,3,6,74218,73397,73522,74331,75470,70692,74068,78703,77967,70966,62456,56714,53459,50595,47547,45820,46458,48684,55682,60486,60779,58693,60213,55871
16,2005,3,6,40411,40408,40840,41700,42943,41868,44830,46715,44652,40156,34912,31463,28688,26658,24649,23402,23452,25574,29768,31328,30821,29213,28745,26996
17,2005,3,6,36845,36745,37248,37825,38986,39069,41571,43663,42086,38372,34226,30815,28918,27543,26261,25267,25420,26961,30660,32524,32431,31223,30289,28477
18,2005,3,6,268789,267273,271000,276001,284299,279620,293992,308190,297664,270675,244295,229976,211226,195589,182578,175736,177619,188512,217287,231498,226142,213976,206179,189176
19,2005,3,6,102241,101374,102301,103843,106160,100528,105630,113475,111577,101279,87546,77839,73017,68131,63229,60627,60876,65156,76905,83991,83117,78293,77492,71592
20,2005,3,6,89800,88325,87680,87966,88730,86399,92338,98655,100484,96507,89931,85395,83377,80236,77604,76258,76585,80482,88788,93361,92103,88080,85018,78051
21,2005,3,6,1719688,1703132,1720151,1725012,1762394,1758234,1839572,1931230,1943184,1872288,1750849,1642291,1554795,1473280,1416512,1380654,1390779,1459052,1644673,1718888,1706042,1618141,1533304,1426749
1,2005,3,7,14218,14379,14728,15194,16441,18695,22091,22433,19830,17989,15848,14328,13420,12747,12262,12444,13368,14778,16684,17935,17476,16448,14489,12885
2,2005,3,7,140479,141926,140370,143290,152678,166623,189525,195255,190201,186262,179014,172800,170658,165345,162290,158610,163421,164122,181297,180813,176186,167903,153027,142512
3,2005,3,7,151578,153138,151460,154610,164739,179786,204497,210680,205227,200977,193156,186452,184141,178408,175111,171140,176332,177088,195620,195098,190106,181168,165117,153770
4,2005,3,7,430,429,424,435,461,495,586,620,548,490,493,481,423,407,408,412,441,493,553,593,552,508,489,423
5,2005,3,7,6157,6051,6105,6328,6946,8207,9959,9431,8204,7308,6306,5798,5472,5267,5087,5259,5686,6445,7933,8730,8210,7195,5944,5027
6,2005,3,7,146636,147977,146475,149618,159623,174830,199483,204686,198405,193570,185320,178598,176130,170612,167377,163869,169107,170567,189230,189543,184397,175098,158971,147539
7,2005,3,7,151578,153138,151460,154610,164739,179786,204497,210680,205227,200977,193156,186452,184141,178408,175111,171140,176332,177088,195620,195098,190106,181168,165117,153770
8,2005,3,7,3119,3051,3069,3172,3421,3748,4215,4330,4095,3777,3614,3418,3244,3069,2939,2983,3122,3517,3845,4001,3804,3650,3260,2866
9,2005,3,7,76482,76062,75957,76524,77658,77847,77469,77553,78372,79002,78225,75474,66885,62475,62244,62769,62412,61782,62097,78561,79317,79317,78876,78603
10,2005,3,7,19845,19792,20083,20378,21977,25554,29402,31020,27959,26189,25692,25071,24258,23695,23028,22463,23050,24709,28170,28970,28481,26603,24327,21701
11,2005,3,7,82710,81239,82069,84100,87210,96358,117913,121455,109089,99472,93282,89165,83582,82466,80720,81089,82373,88054,103024,108955,105372,98812,89293,79804
12,2005,3,7,106344,104011,103764,104967,108374,120558,145018,142518,123540,111945,104184,98315,93724,89142,87040,86784,92660,102860,123949,131648,127523,118033,105854,93221
13,2005,3,7,17350,17197,17248,17654,18541,19297,23273,24325,22171,21028,19930,18786,17821,17581,17048,16888,17535,18481,20659,21606,20906,19305,18832,16442
14,2005,3,7,18086,17718,17963,18819,20546,21427,25300,24317,20466,17520,15668,14332,13581,12723,12218,12302,12878,14443,18011,19529,19126,17841,17034,14687
15,2005,3,7,53084,52250,53122,54875,58508,60365,71827,72257,65054,58896,53644,50832,48106,47985,46701,46345,46874,48610,55109,57775,56656,53324,52508,47482
16,2005,3,7,25979,26080,26328,26907,28170,29257,34427,33904,29368,25797,23129,21349,19864,18814,18022,17846,18496,20484,24740,26413,25423,23379,21775,19109
17,2005,3,7,27518,27269,27823,28445,30498,33716,39079,36540,32626,30838,28678,27277,26136,25293,24421,24249,25520,26729,30264,31446,30746,29238,27392,24671
18,2005,3,7,180359,178949,181002,186543,197991,210116,245616,241132,216765,198494,182489,169314,159218,153831,149145,148672,155687,166056,196940,210861,201531,185429,171142,148981
19,2005,3,7,67988,67045,67514,70274,75142,80784,97762,94491,80542,71272,64480,59496,55000,53052,49369,48786,52249,58034,69801,75415,72424,66338,63215,54418
20,2005,3,7,74145,72844,73426,76019,80167,85073,101577,104493,96524,90547,86236,84017,81790,79598,78375,77796,79489,85056,93270,95000,91947,87088,82650,74731
21,2005,3,7,1364085,1360545,1360390,1392762,1473830,1592522,1843516,1862120,1734213,1642350,1552544,1481755,1427594,1380918,1348916,1331846,1377032,1429396,1616816,1677990,1630289,1537845,1419312,1292642
1,2005,3,8,11812,11383,11501,11367,11917,13806,17086,18645,19068,18565,18828,19932,18638,17722,16833,17542,19060,21341,25001,30002,28421,27580,25607,24268
2,2005,3,8,135538,133792,131394,132918,138726,153550,179400,195541,196834,208129,213158,216546,211238,206748,203465,204077,209705,226732,245225,246117,242921,235943,223906,210154
3,2005,3,8,146246,144361,141775,143418,149685,165681,193573,210989,212385,224572,229997,233653,227927,223081,219539,220200,226273,244645,264599,265561,262112,254584,241596,226757
4,2005,3,8,393,377,373,362,408,414,537,592,570,575,573,586,542,537,541,533,576,623,712,745,741,739,702,649
5,2005,3,8,4464,4218,4226,4352,4892,5862,7840,8201,8267,8866,9522,9716,9540,9045,8516,8570,9412,10981,12906,13654,13358,12682,11666,10819
6,2005,3,8,140002,138009,135620,137269,143618,159412,187240,203742,205102,216995,222680,226262,220778,215793,211981,212647,219118,237713,258131,259771,256278,248625,235572,220973
7,2005,3,8,146246,144361,141775,143418,149685,165681,193573,210989,212385,224572,229997,233653,227927,223081,219539,220200,226273,244645,264599,265561,262112,254584,241596,226757
8,2005,3,8,2653,2628,2576,2719,3011,3464,4044,4363,4271,4414,4445,4416,4299,3962,3707,4380,4708,5128,5589,5863,5560,5531,5064,4705
9,2005,3,8,77049,78708,78036,78309,77931,78435,75075,73878,65142,64512,64995,67872,70350,81228,80136,79401,78078,78288,78267,77742,74508,66696,60795,61341
10,2005,3,8,19995,19467,19600,19757,20575,23444,27437,29118,28085,27906,28400,30268,31694,31452,30252,31560,34668,36977,40335,42416,36819,37743,37232,34685
11,2005,3,8,73551,70792,70305,71043,74450,82640,100766,108484,104595,104618,107994,112210,117089,125525,131669,135307,136690,144441,154873,159938,159306,159345,153470,144954
12,2005,3,8,84670,80417,78921,79126,82935,94809,119664,122960,114913,114502,119192,125869,133291,143617,152033,159682,167664,158469,203629,209999,209317,201057,191107,179196
13,2005,3,8,14908,14069,14161,14368,15139,16285,20327,22345,21862,22256,22548,22581,21769,21307,21161,21685,23046,25318,28621,29797,29576,28358,28261,25855
14,2005,3,8,13044,12666,12590,12828,14018,15056,18824,18632,17706,16534,16342,18416,21277,22673,22032,21567,22347,24928,28891,30351,30022,29471,30774,28843
15,2005,3,8,44217,43085,42767,43338,45728,46883,57980,61061,58849,59308,61831,62939,61361,60901,60042,59747,61721,66506,77203,82309,82524,80378,83206,77149
16,2005,3,8,17491,16950,16906,17439,18628,20228,25293,27004,26279,28038,30774,34205,37016,38465,36973,35305,36184,39097,44758,48339,47228,45616,46038,44084
17,2005,3,8,22370,21249,20962,21130,22373,25437,30428,30117,29157,27805,29449,31560,33922,34461,32811,31878,33245,36132,40763,42377,42143,41190,40091,37965
18,2005,3,8,135206,129166,127758,128967,138411,154315,193634,203999,205447,221396,235964,256316,259688,247405,232903,227206,238611,265791,307334,323843,319243,307470,302875,286245
19,2005,3,8,49133,47973,47486,48546,52366,57901,74490,75227,70187,71397,75165,78738,78924,75865,72186,72654,78988,89733,106556,113980,112996,108423,110202,102994
