,zone,year,month,day,hour,actual,predicted_NN
0,3,2005,3,6,0,174901,211577.453125
1,3,2005,3,6,1,173600,184346.28125
2,3,2005,3,6,2,173637,183920.375
3,3,2005,3,6,3,171521,188586.28125
4,3,2005,3,6,4,176090,194651.421875
5,3,2005,3,6,5,178248,171780.03125
6,3,2005,3,6,6,185577,216121.140625
7,3,2005,3,6,7,193773,221779.421875
8,3,2005,3,6,8,198312,210722.03125
9,3,2005,3,6,9,198815,208402.171875
10,3,2005,3,6,10,191058,185144.921875
11,3,2005,3,6,11,183358,186470.765625
12,3,2005,3,6,12,175783,177542.0
13,3,2005,3,6,13,167383,174901.953125
14,3,2005,3,6,14,163665,172680.484375
15,3,2005,3,6,15,159918,169710.234375
16,3,2005,3,6,16,161173,168834.265625
17,3,2005,3,6,17,165872,167567.390625
18,3,2005,3,6,18,184853,178899.3125
19,3,2005,3,6,19,189788,179135.140625
20,3,2005,3,6,20,189752,180032.921875
21,3,2005,3,6,21,179483,167618.609375
22,3,2005,3,6,22,167689,159305.765625
23,3,2005,3,6,23,157521,148357.109375
24,3,2005,3,7,0,151578,146743.796875
25,3,2005,3,7,1,153138,141116.296875
26,3,2005,3,7,2,151460,141123.921875
27,3,2005,3,7,3,154610,142960.109375
28,3,2005,3,7,4,164739,145281.578125
29,3,2005,3,7,5,179786,164604.796875
30,3,2005,3,7,6,204497,177314.328125
31,3,2005,3,7,7,210680,161664.640625
32,3,2005,3,7,8,205227,171530.953125
33,3,2005,3,7,9,200977,181073.453125
34,3,2005,3,7,10,193156,178100.640625
35,3,2005,3,7,11,186452,183861.234375
36,3,2005,3,7,12,184141,166176.375
37,3,2005,3,7,13,178408,158954.546875
38,3,2005,3,7,14,175111,161683.859375
39,3,2005,3,7,15,171140,158557.921875
40,3,2005,3,7,16,176332,166379.125
41,3,2005,3,7,17,177088,170308.703125
42,3,2005,3,7,18,195620,180178.3125
43,3,2005,3,7,19,195098,188302.609375
44,3,2005,3,7,20,190106,184626.15625
45,3,2005,3,7,21,181168,174938.015625
46,3,2005,3,7,22,165117,160361.359375
47,3,2005,3,7,23,153770,152878.0625
