,zone,year,month,day,hour,actual,predicted_NN
0,3,2005,3,6,0,174901,183727.4375
1,3,2005,3,6,1,173600,180682.96875
2,3,2005,3,6,2,173637,142284.40625
3,3,2005,3,6,3,171521,135736.046875
4,3,2005,3,6,4,176090,147866.65625
5,3,2005,3,6,5,178248,141936.125
6,3,2005,3,6,6,185577,149474.078125
7,3,2005,3,6,7,193773,168813.296875
8,3,2005,3,6,8,198312,212158.703125
9,3,2005,3,6,9,198815,187157.65625
10,3,2005,3,6,10,191058,173462.28125
11,3,2005,3,6,11,183358,171605.015625
12,3,2005,3,6,12,175783,161984.90625
13,3,2005,3,6,13,167383,160559.53125
14,3,2005,3,6,14,163665,158950.84375
15,3,2005,3,6,15,159918,157785.046875
16,3,2005,3,6,16,161173,139813.40625
17,3,2005,3,6,17,165872,147695.453125
18,3,2005,3,6,18,184853,153617.046875
19,3,2005,3,6,19,189788,157728.390625
20,3,2005,3,6,20,189752,155906.65625
21,3,2005,3,6,21,179483,152861.359375
22,3,2005,3,6,22,167689,145370.25
23,3,2005,3,6,23,157521,136834.390625
24,3,2005,3,7,0,151578,136385.5625
25,3,2005,3,7,1,153138,101199.78125
26,3,2005,3,7,2,151460,102133.7734375
27,3,2005,3,7,3,154610,105073.25
28,3,2005,3,7,4,164739,113357.1171875
29,3,2005,3,7,5,179786,153035.15625
30,3,2005,3,7,6,204497,177247.15625
31,3,2005,3,7,7,210680,209473.59375
32,3,2005,3,7,8,205227,178079.65625
33,3,2005,3,7,9,200977,187812.0
34,3,2005,3,7,10,193156,182026.046875
35,3,2005,3,7,11,186452,169574.90625
36,3,2005,3,7,12,184141,165262.234375
37,3,2005,3,7,13,178408,163296.5
38,3,2005,3,7,14,175111,165126.25
39,3,2005,3,7,15,171140,163315.984375
40,3,2005,3,7,16,176332,161852.1875
41,3,2005,3,7,17,177088,166216.015625
42,3,2005,3,7,18,195620,181683.9375
43,3,2005,3,7,19,195098,185375.4375
44,3,2005,3,7,20,190106,180942.875
45,3,2005,3,7,21,181168,166779.15625
46,3,2005,3,7,22,165117,152495.5625
47,3,2005,3,7,23,153770,142640.53125
48,3,2005,3,8,0,146246,135817.4375
49,3,2005,3,8,1,144361,132376.8125
50,3,2005,3,8,2,141775,160896.09375
51,3,2005,3,8,3,143418,102570.7890625
52,3,2005,3,8,4,149685,107606.1796875
53,3,2005,3,8,5,165681,151067.578125
54,3,2005,3,8,6,193573,179696.875
55,3,2005,3,8,7,210989,169131.28125
56,3,2005,3,8,8,212385,173725.40625
57,3,2005,3,8,9,224572,187851.234375
58,3,2005,3,8,10,229997,187209.4375
59,3,2005,3,8,11,233653,178056.40625
60,3,2005,3,8,12,227927,207428.828125
61,3,2005,3,8,13,223081,204302.59375
62,3,2005,3,8,14,219539,214976.109375
63,3,2005,3,8,15,220200,210917.4375
64,3,2005,3,8,16,226273,211805.28125
65,3,2005,3,8,17,244645,223022.234375
66,3,2005,3,8,18,264599,237835.484375
67,3,2005,3,8,19,265561,239419.546875
68,3,2005,3,8,20,262112,236509.03125
69,3,2005,3,8,21,254584,226552.5625
70,3,2005,3,8,22,241596,215509.65625
71,3,2005,3,8,23,226757,204080.328125
72,3,2005,3,9,0,224195,201154.40625
73,3,2005,3,9,1,221290,197786.390625
74,3,2005,3,9,2,221792,201239.8125
75,3,2005,3,9,3,220347,203306.09375
76,3,2005,3,9,4,229140,212337.59375
77,3,2005,3,9,5,243535,227061.609375
78,3,2005,3,9,6,264021,247740.15625
79,3,2005,3,9,7,267049,251893.59375
80,3,2005,3,9,8,255788,232621.09375
81,3,2005,3,9,9,244666,240027.0625
82,3,2005,3,9,10,238287,217823.9375
83,3,2005,3,9,11,232726,214249.25
84,3,2005,3,9,12,228155,195456.8125
85,3,2005,3,9,13,219974,202445.25
86,3,2005,3,9,14,212160,196304.0
87,3,2005,3,9,15,209552,194653.953125
88,3,2005,3,9,16,213172,196475.34375
89,3,2005,3,9,17,222427,209113.375
90,3,2005,3,9,18,244700,225328.1875
91,3,2005,3,9,19,248378,229135.375
92,3,2005,3,9,20,247412,225166.296875
93,3,2005,3,9,21,239183,218071.46875
94,3,2005,3,9,22,223689,205659.78125
95,3,2005,3,9,23,209663,204067.15625
96,3,2005,3,10,0,208789,201173.0
97,3,2005,3,10,1,209542,197838.9375
98,3,2005,3,10,2,209223,201292.59375
99,3,2005,3,10,3,211015,203370.25
100,3,2005,3,10,4,218651,212408.609375
101,3,2005,3,10,5,231812,227138.09375
102,3,2005,3,10,6,254487,247803.09375
103,3,2005,3,10,7,259560,251973.90625
104,3,2005,3,10,8,239217,236248.953125
105,3,2005,3,10,9,232584,203212.546875
106,3,2005,3,10,10,225136,212386.0625
107,3,2005,3,10,11,218131,198201.390625
108,3,2005,3,10,12,208948,190125.109375
109,3,2005,3,10,13,203077,184513.15625
110,3,2005,3,10,14,197314,178966.3125
111,3,2005,3,10,15,195301,172635.015625
112,3,2005,3,10,16,197388,187945.375
113,3,2005,3,10,17,209725,196960.9375
114,3,2005,3,10,18,226174,192411.3125
115,3,2005,3,10,19,227965,229053.21875
116,3,2005,3,10,20,223317,228471.21875
117,3,2005,3,10,21,215651,222459.125
118,3,2005,3,10,22,205537,202692.15625
119,3,2005,3,10,23,186971,146526.59375
120,3,2005,3,11,0,184608,165409.703125
121,3,2005,3,11,1,181299,151280.15625
122,3,2005,3,11,2,182259,151952.71875
123,3,2005,3,11,3,184490,154421.328125
124,3,2005,3,11,4,191818,159054.953125
125,3,2005,3,11,5,207442,172456.828125
126,3,2005,3,11,6,230631,191967.53125
127,3,2005,3,11,7,236192,221166.328125
128,3,2005,3,11,8,220402,207549.859375
129,3,2005,3,11,9,210653,165867.921875
130,3,2005,3,11,10,204350,192026.46875
131,3,2005,3,11,11,202580,188439.328125
132,3,2005,3,11,12,200666,185386.234375
133,3,2005,3,11,13,197449,180873.0
134,3,2005,3,11,14,187444,174977.90625
135,3,2005,3,11,15,188453,167457.453125
136,3,2005,3,11,16,190686,175279.765625
137,3,2005,3,11,17,198383,196453.34375
138,3,2005,3,11,18,206560,212066.359375
139,3,2005,3,11,19,206965,211405.203125
140,3,2005,3,11,20,205597,205797.671875
141,3,2005,3,11,21,198977,164745.71875
142,3,2005,3,11,22,194579,175889.875
143,3,2005,3,11,23,182776,175429.46875
144,3,2005,3,12,0,177332,154312.34375
145,3,2005,3,12,1,175846,150418.515625
146,3,2005,3,12,2,174226,150403.0
147,3,2005,3,12,3,175561,161799.453125
148,3,2005,3,12,4,181000,154378.296875
149,3,2005,3,12,5,189637,158496.9375
150,3,2005,3,12,6,202911,182861.140625
151,3,2005,3,12,7,214570,192535.4375
152,3,2005,3,12,8,215824,212119.390625
153,3,2005,3,12,9,215195,211345.96875
154,3,2005,3,12,10,207371,196751.171875
155,3,2005,3,12,11,196738,183497.78125
156,3,2005,3,12,12,191607,149922.46875
157,3,2005,3,12,13,186904,163224.046875
158,3,2005,3,12,14,180800,155993.390625
159,3,2005,3,12,15,178488,177090.9375
160,3,2005,3,12,16,180767,178388.265625
161,3,2005,3,12,17,187032,163649.3125
162,3,2005,3,12,18,198118,170509.25
163,3,2005,3,12,19,197621,172050.359375
164,3,2005,3,12,20,194745,178217.90625
165,3,2005,3,12,21,191835,176919.921875
166,3,2005,3,12,22,183701,174450.328125
167,3,2005,3,12,23,169777,165498.25
168,3,2005,6,20,0,136059,141762.875
169,3,2005,6,20,1,129139,134660.578125
170,3,2005,6,20,2,126198,131653.1875
171,3,2005,6,20,3,125820,122139.8359375
172,3,2005,6,20,4,128150,126309.875
173,3,2005,6,20,5,136984,136702.296875
174,3,2005,6,20,6,149724,156588.8125
175,3,2005,6,20,7,164312,166203.34375
176,3,2005,6,20,8,169855,164362.234375
177,3,2005,6,20,9,176655,159348.875
178,3,2005,6,20,10,181497,170270.09375
179,3,2005,6,20,11,185430,175806.9375
180,3,2005,6,20,12,186133,180711.9375
181,3,2005,6,20,13,187516,169581.375
182,3,2005,6,20,14,187100,177216.125
183,3,2005,6,20,15,188061,178886.125
184,3,2005,6,20,16,189479,175204.46875
185,3,2005,6,20,17,191222,179478.265625
186,3,2005,6,20,18,188505,187383.09375
187,3,2005,6,20,19,184524,183526.375
188,3,2005,6,20,20,184174,180500.71875
189,3,2005,6,20,21,183100,165653.4375
190,3,2005,6,20,22,167250,149492.40625
191,3,2005,6,20,23,149810,138454.03125
192,3,2005,6,21,0,138316,128681.09375
193,3,2005,6,21,1,132897,122909.8046875
194,3,2005,6,21,2,128810,119797.765625
195,3,2005,6,21,3,129145,118819.8984375
196,3,2005,6,21,4,131182,123067.2578125
197,3,2005,6,21,5,139559,134674.65625
198,3,2005,6,21,6,152080,153235.375
199,3,2005,6,21,7,165830,166178.90625
200,3,2005,6,21,8,173252,166835.515625
201,3,2005,6,21,9,180665,167772.1875
202,3,2005,6,21,10,187099,197136.53125
203,3,2005,6,21,11,193781,203429.984375
204,3,2005,6,21,12,198183,209530.515625
205,3,2005,6,21,13,204932,188362.921875
206,3,2005,6,21,14,208602,189759.1875
207,3,2005,6,21,15,213579,202083.578125
208,3,2005,6,21,16,217422,205119.53125
209,3,2005,6,21,17,219692,197472.4375
210,3,2005,6,21,18,219324,197427.53125
211,3,2005,6,21,19,213635,184501.484375
212,3,2005,6,21,20,210121,187232.03125
213,3,2005,6,21,21,208347,191078.71875
214,3,2005,6,21,22,190293,188422.65625
215,3,2005,6,21,23,168466,167205.34375
216,3,2005,6,22,0,155743,141779.125
217,3,2005,6,22,1,146965,118702.5703125
218,3,2005,6,22,2,141050,127848.5078125
219,3,2005,6,22,3,140644,131140.9375
220,3,2005,6,22,4,143353,131426.734375
221,3,2005,6,22,5,152282,153078.125
222,3,2005,6,22,6,162366,146043.484375
223,3,2005,6,22,7,174990,170481.25
224,3,2005,6,22,8,182097,173433.96875
225,3,2005,6,22,9,184052,186496.1875
226,3,2005,6,22,10,187370,204299.0
227,3,2005,6,22,11,187505,170301.8125
228,3,2005,6,22,12,193224,171275.75
229,3,2005,6,22,13,200697,174351.90625
230,3,2005,6,22,14,206820,208969.609375
231,3,2005,6,22,15,214456,177543.625
232,3,2005,6,22,16,220309,220240.3125
233,3,2005,6,22,17,219165,201141.140625
234,3,2005,6,22,18,206192,197451.765625
235,3,2005,6,22,19,198968,184561.5
236,3,2005,6,22,20,196581,198015.65625
237,3,2005,6,22,21,196258,191061.90625
238,3,2005,6,22,22,181391,170617.84375
239,3,2005,6,22,23,164741,150321.171875
240,3,2005,6,23,0,152425,138332.90625
