zone,Year,Month,Day,Hour,actual,predicted
1,2005,3,6,0,19964,19102.3835877
1,2005,3,6,1,19544,17569.0325098
1,2005,3,6,2,19390,16566.9446339
1,2005,3,6,3,19442,15533.1402087
1,2005,3,6,4,19755,17624.381509
1,2005,3,6,5,20008,19995.7587441
1,2005,3,6,6,20768,21465.8470302
1,2005,3,6,7,22784,20912.8540217
1,2005,3,6,8,22850,24768.3007055
1,2005,3,6,9,20927,21671.179768
1,2005,3,6,10,19005,18835.0216436
1,2005,3,6,11,17060,17564.0333436
1,2005,3,6,12,16065,16594.2799352
1,2005,3,6,13,15334,15477.9386871
1,2005,3,6,14,14535,13923.1858485
1,2005,3,6,15,13955,13657.3793906
1,2005,3,6,16,13712,13908.0964409
1,2005,3,6,17,14372,14628.6224044
1,2005,3,6,18,16392,15075.0335957
1,2005,3,6,19,18253,15675.3402437
1,2005,3,6,20,18355,16265.4536011
1,2005,3,6,21,17157,15852.4002269
1,2005,3,6,22,16089,14447.1784518
1,2005,3,6,23,15146,13045.3557279
2,2005,3,6,0,162096,167324.408233
2,2005,3,6,1,160890,160426.646453
2,2005,3,6,2,160924,146898.822232
2,2005,3,6,3,158962,170973.096544
2,2005,3,6,4,163197,160233.038078
2,2005,3,6,5,165197,170059.941112
2,2005,3,6,6,171989,177034.401416
2,2005,3,6,7,179586,172874.127924
2,2005,3,6,8,183793,196392.316322
2,2005,3,6,9,184259,186144.765127
2,2005,3,6,10,177069,169176.810207
2,2005,3,6,11,169932,166078.778846
2,2005,3,6,12,162912,157100.831322
2,2005,3,6,13,155127,146602.042862
2,2005,3,6,14,151681,140560.421796
2,2005,3,6,15,148210,144777.518598
2,2005,3,6,16,149373,137078.91546
2,2005,3,6,17,153728,142896.920692
2,2005,3,6,18,171318,148883.989014
2,2005,3,6,19,175893,151628.105986
2,2005,3,6,20,175858,157821.864652
2,2005,3,6,21,166342,148733.96567
2,2005,3,6,22,155411,140060.123297
2,2005,3,6,23,145988,130760.363747
3,2005,3,6,0,174901,180543.266851
3,2005,3,6,1,173600,173100.624093
3,2005,3,6,2,173637,158503.655398
3,2005,3,6,3,171521,184480.273464
3,2005,3,6,4,176090,172892.145056
3,2005,3,6,5,178248,183494.77037
3,2005,3,6,6,185577,191020.523204
3,2005,3,6,7,193773,186531.65788
3,2005,3,6,8,198312,211907.44914
3,2005,3,6,9,198815,200850.799582
3,2005,3,6,10,191058,182542.295166
3,2005,3,6,11,183358,179199.354493
3,2005,3,6,12,175783,169512.025329
3,2005,3,6,13,167383,158183.916672
3,2005,3,6,14,163665,151665.039696
3,2005,3,6,15,159918,156215.424164
3,2005,3,6,16,161173,147908.511424
3,2005,3,6,17,165872,154186.174984
3,2005,3,6,18,184853,160646.206396
3,2005,3,6,19,189788,163607.129132
3,2005,3,6,20,189752,170290.179952
3,2005,3,6,21,179483,160484.162969
3,2005,3,6,22,167689,151125.043046
3,2005,3,6,23,157521,141090.673649
4,2005,3,6,0,528,546.018463006
4,2005,3,6,1,499,493.18977388
4,2005,3,6,2,469,464.626802265
4,2005,3,6,3,486,479.088033674
4,2005,3,6,4,497,473.914326605
4,2005,3,6,5,524,456.524040119
4,2005,3,6,6,555,542.889299831
4,2005,3,6,7,630,660.152398117
4,2005,3,6,8,649,673.789105117
4,2005,3,6,9,640,663.627571736
4,2005,3,6,10,583,603.819033271
4,2005,3,6,11,565,560.675860244
4,2005,3,6,12,533,524.58300862
4,2005,3,6,13,515,488.41401961
4,2005,3,6,14,470,468.517298284
4,2005,3,6,15,450,461.366375648
4,2005,3,6,16,446,471.283368265
4,2005,3,6,17,459,502.664215165
4,2005,3,6,18,547,528.638854708
4,2005,3,6,19,584,543.659663243
4,2005,3,6,20,557,567.247105762
4,2005,3,6,21,564,529.078214443
4,2005,3,6,22,485,464.49297227
4,2005,3,6,23,470,412.069366482
5,2005,3,6,0,9061,8288.50577505
5,2005,3,6,1,8697,7999.61357156
5,2005,3,6,2,8595,8820.91006108
5,2005,3,6,3,8669,8989.45236452
5,2005,3,6,4,8941,8296.70894397
5,2005,3,6,5,9360,9059.44733754
5,2005,3,6,6,10058,9545.22847302
5,2005,3,6,7,11353,10842.044656
5,2005,3,6,8,11357,11493.0410925
5,2005,3,6,9,10743,10578.2090439
5,2005,3,6,10,9518,8893.13011056
5,2005,3,6,11,8708,8402.08335137
5,2005,3,6,12,7979,7473.95217533
5,2005,3,6,13,7666,6941.31167401
5,2005,3,6,14,7139,6563.85796665
5,2005,3,6,15,6799,6395.84313289
5,2005,3,6,16,6821,6432.75666421
5,2005,3,6,17,7513,6708.59160768
5,2005,3,6,18,9078,7299.54473751
5,2005,3,6,19,9787,7778.47439257
5,2005,3,6,20,9346,8031.17957178
5,2005,3,6,21,8559,7426.45122365
5,2005,3,6,22,7470,6462.45737921
5,2005,3,6,23,6591,5676.67402238
6,2005,3,6,0,171157,175692.662527
6,2005,3,6,1,169587,168426.315664
6,2005,3,6,2,169519,153953.974173
6,2005,3,6,3,167631,179962.758379
6,2005,3,6,4,172138,168529.833216
6,2005,3,6,5,174557,179119.262281
6,2005,3,6,6,182047,186925.784839
6,2005,3,6,7,190938,196473.916389
6,2005,3,6,8,195150,207885.369811
6,2005,3,6,9,195002,196723.035483
6,2005,3,6,10,186587,178070.01784
6,2005,3,6,11,178641,174505.482085
6,2005,3,6,12,170891,164754.727483
6,2005,3,6,13,162793,153442.32101
6,2005,3,6,14,158821,146870.516608
6,2005,3,6,15,155009,151446.39165
6,2005,3,6,16,156194,147723.878726
6,2005,3,6,17,161240,149605.58073
6,2005,3,6,18,180397,156257.607109
6,2005,3,6,19,185680,159395.418674
6,2005,3,6,20,185204,166092.262202
6,2005,3,6,21,174900,156199.31057
6,2005,3,6,22,162881,146522.60931
6,2005,3,6,23,152579,136437.044266
7,2005,3,6,0,174901,180543.266851
7,2005,3,6,1,173600,173100.624093
7,2005,3,6,2,173637,158503.655398
7,2005,3,6,3,171521,184480.273464
7,2005,3,6,4,176090,172892.145056
7,2005,3,6,5,178248,183494.77037
7,2005,3,6,6,185577,191020.523204
7,2005,3,6,7,193773,186531.65788
7,2005,3,6,8,198312,211907.44914
7,2005,3,6,9,198815,200850.799582
7,2005,3,6,10,191058,182542.295166
7,2005,3,6,11,183358,179199.354493
7,2005,3,6,12,175783,169512.025329
7,2005,3,6,13,167383,158183.916672
7,2005,3,6,14,163665,151665.039696
7,2005,3,6,15,159918,156215.424164
7,2005,3,6,16,161173,147908.511424
7,2005,3,6,17,165872,154186.174984
7,2005,3,6,18,184853,160646.206396
7,2005,3,6,19,189788,163607.129132
7,2005,3,6,20,189752,170290.179952
7,2005,3,6,21,179483,160484.162969
7,2005,3,6,22,167689,151125.043046
7,2005,3,6,23,157521,141090.673649
8,2005,3,6,0,4091,3844.12778837
8,2005,3,6,1,3971,3649.00490913
8,2005,3,6,2,3975,3422.38528932
8,2005,3,6,3,3966,4114.89332133
8,2005,3,6,4,4031,3595.99715174
8,2005,3,6,5,4158,3346.43228991
8,2005,3,6,6,4394,3737.21380901
8,2005,3,6,7,4671,4404.27480575
8,2005,3,6,8,4894,4581.30601796
8,2005,3,6,9,4587,4591.23891751
8,2005,3,6,10,4337,4389.88672585
8,2005,3,6,11,4038,4188.03908492
8,2005,3,6,12,3954,3907.40747993
8,2005,3,6,13,3763,3583.68305249
8,2005,3,6,14,3658,3403.35850719
8,2005,3,6,15,3484,3346.1800989
8,2005,3,6,16,3433,3384.03368555
8,2005,3,6,17,3684,3493.77169373
8,2005,3,6,18,3978,3592.66477374
8,2005,3,6,19,4323,3706.01265937
8,2005,3,6,20,4373,3924.27685587
8,2005,3,6,21,4114,3645.98932689
8,2005,3,6,22,3656,3159.87113206
8,2005,3,6,23,3362,2840.83042904
9,2005,3,6,0,61215,75814.0306366
9,2005,3,6,1,61131,73424.0708309
9,2005,3,6,2,73038,74711.2664948
9,2005,3,6,3,74193,74703.0575558
9,2005,3,6,4,73710,75840.5223723
9,2005,3,6,5,73689,73274.6372358
9,2005,3,6,6,73878,70487.1428012
9,2005,3,6,7,75096,59294.8021003
9,2005,3,6,8,78477,62701.6214177
9,2005,3,6,9,78414,66786.4998603
9,2005,3,6,10,78309,70271.3048904
9,2005,3,6,11,67053,71191.8797214
9,2005,3,6,12,64911,70891.9940715
9,2005,3,6,13,63084,72073.8473921
9,2005,3,6,14,60921,72315.4141747
9,2005,3,6,15,61215,72762.8144472
9,2005,3,6,16,61929,71016.9054546
9,2005,3,6,17,69930,70850.8749776
9,2005,3,6,18,74487,70122.4293837
9,2005,3,6,19,74508,68599.0151667
9,2005,3,6,20,76944,69857.8121078
9,2005,3,6,21,77448,73225.9589851
9,2005,3,6,22,76629,73970.121009
9,2005,3,6,23,76713,73560.4848342
10,2005,3,6,0,26459,26812.6048553
10,2005,3,6,1,25979,26618.4716778
10,2005,3,6,2,25727,25247.7258808
10,2005,3,6,3,25916,24786.21553
10,2005,3,6,4,26132,28823.9737646
10,2005,3,6,5,26571,24635.5859607
10,2005,3,6,6,27651,26242.518205
10,2005,3,6,7,29141,27788.1928298
10,2005,3,6,8,29078,26943.6279636
10,2005,3,6,9,28182,26609.8659241
10,2005,3,6,10,26577,22676.1722296
10,2005,3,6,11,24758,21275.0377974
10,2005,3,6,12,23443,21197.3260264
10,2005,3,6,13,22547,19890.3107245
10,2005,3,6,14,21643,19271.2763717
10,2005,3,6,15,20846,18041.4381719
10,2005,3,6,16,20539,17290.2069118
10,2005,3,6,17,21372,17527.2433378
10,2005,3,6,18,24689,19702.9596084
10,2005,3,6,19,26016,20130.9709711
10,2005,3,6,20,25642,19641.1247253
10,2005,3,6,21,24452,19021.3970967
10,2005,3,6,22,22705,17818.0131638
10,2005,3,6,23,20918,17129.6405231
11,2005,3,6,0,113552,117101.426111
11,2005,3,6,1,112515,113668.02169
11,2005,3,6,2,113244,111973.181232
11,2005,3,6,3,113990,110534.453662
11,2005,3,6,4,115297,111694.64177
11,2005,3,6,5,118413,112260.548005
11,2005,3,6,6,123465,121668.463548
11,2005,3,6,7,126818,135691.758822
11,2005,3,6,8,127719,132748.730946
11,2005,3,6,9,123253,122787.270351
11,2005,3,6,10,116518,112339.000596
11,2005,3,6,11,109167,103663.954179
11,2005,3,6,12,102730,97960.1644099
11,2005,3,6,13,97040,90669.8871644
11,2005,3,6,14,92612,85190.6833777
11,2005,3,6,15,90533,82606.9274038
11,2005,3,6,16,91422,82368.1969476
11,2005,3,6,17,96442,83302.8321577
11,2005,3,6,18,108707,87538.5627594
11,2005,3,6,19,114405,91222.9016786
11,2005,3,6,20,111904,96989.3029965
11,2005,3,6,21,105168,93363.1839593
11,2005,3,6,22,96091,84667.1266495
11,2005,3,6,23,87815,78501.9746542
12,2005,3,6,0,140417,148449.402033
12,2005,3,6,1,137418,142945.809449
12,2005,3,6,2,137204,139258.775137
12,2005,3,6,3,138264,137014.537002
12,2005,3,6,4,140202,138363.257354
12,2005,3,6,5,144008,139198.229691
12,2005,3,6,6,151202,151809.41641
12,2005,3,6,7,158880,170869.748134
12,2005,3,6,8,162387,169869.597602
12,2005,3,6,9,158535,158539.918767
12,2005,3,6,10,150325,145536.568026
12,2005,3,6,11,141126,133887.071106
12,2005,3,6,12,131401,123992.419807
12,2005,3,6,13,124326,115779.200662
12,2005,3,6,14,120811,112115.14783
12,2005,3,6,15,119564,108912.233117
12,2005,3,6,16,120525,104393.661304
12,2005,3,6,17,127682,105742.51017
12,2005,3,6,18,145115,112168.065671
12,2005,3,6,19,152004,117844.847073
12,2005,3,6,20,148516,126736.552808
12,2005,3,6,21,138547,122300.417331
12,2005,3,6,22,126464,110810.48048
12,2005,3,6,23,113857,102285.162959
13,2005,3,6,0,21302,21780.5409743
13,2005,3,6,1,20466,19933.4245367
13,2005,3,6,2,20255,18760.8144458
13,2005,3,6,3,20117,19719.1281695
13,2005,3,6,4,20381,19497.4085804
13,2005,3,6,5,19468,18548.9771938
13,2005,3,6,6,20870,18649.7202776
13,2005,3,6,7,23112,22695.7877501
13,2005,3,6,8,24324,24286.8144265
13,2005,3,6,9,23998,24077.8995802
13,2005,3,6,10,22268,22616.0572167
13,2005,3,6,11,20744,20988.4272371
13,2005,3,6,12,19854,19761.8823861
13,2005,3,6,13,19037,18677.1919595
13,2005,3,6,14,17665,17297.3883938
13,2005,3,6,15,17104,16404.0023943
13,2005,3,6,16,17141,16563.2509084
13,2005,3,6,17,18129,17717.9394063
13,2005,3,6,18,20699,18350.8918277
13,2005,3,6,19,22435,19192.148354
13,2005,3,6,20,21949,20205.1883747
13,2005,3,6,21,20847,18662.0735255
13,2005,3,6,22,20542,17758.8063987
13,2005,3,6,23,18568,15961.0214421
14,2005,3,6,0,27740,28651.6372208
14,2005,3,6,1,27713,25606.3806071
14,2005,3,6,2,27946,24736.1815152
14,2005,3,6,3,28668,27007.6027873
14,2005,3,6,4,29345,23832.699599
14,2005,3,6,5,27609,28089.1918301
14,2005,3,6,6,29112,29961.2064157
14,2005,3,6,7,31274,32449.8129478
14,2005,3,6,8,31452,32130.9457064
14,2005,3,6,9,28163,25023.5216984
14,2005,3,6,10,24271,23807.8237066
14,2005,3,6,11,21581,18423.1714535
14,2005,3,6,12,19871,17975.5141709
14,2005,3,6,13,18530,16908.6460812
14,2005,3,6,14,17358,15584.2574093
14,2005,3,6,15,16539,14724.6180302
14,2005,3,6,16,16488,14189.5535087
14,2005,3,6,17,17388,14812.4618948
14,2005,3,6,18,20470,15989.0967493
14,2005,3,6,19,22236,17244.2800897
14,2005,3,6,20,22497,17757.2326011
14,2005,3,6,21,21599,17275.4934165
14,2005,3,6,22,21567,16633.7910509
14,2005,3,6,23,19537,15416.430986
15,2005,3,6,0,74218,76426.3762692
15,2005,3,6,1,73397,64028.7367497
15,2005,3,6,2,73522,69270.6329571
15,2005,3,6,3,74331,65460.3146223
15,2005,3,6,4,75470,67590.6268176
15,2005,3,6,5,70692,66148.2599039
15,2005,3,6,6,74068,68692.7460075
15,2005,3,6,7,78703,75803.2281836
15,2005,3,6,8,77967,80678.4597619
15,2005,3,6,9,70966,68972.5430683
15,2005,3,6,10,62456,61785.8022578
15,2005,3,6,11,56714,55886.8290857
15,2005,3,6,12,53459,52588.0501977
15,2005,3,6,13,50595,50001.0550177
15,2005,3,6,14,47547,47677.774889
15,2005,3,6,15,45820,45846.1120768
15,2005,3,6,16,46458,46181.2745274
15,2005,3,6,17,48684,48600.0440579
15,2005,3,6,18,55682,50856.2998316
15,2005,3,6,19,60486,52865.6219624
15,2005,3,6,20,60779,54128.5668271
15,2005,3,6,21,58693,54009.794133
15,2005,3,6,22,60213,53399.3595204
15,2005,3,6,23,55871,50440.1755618
16,2005,3,6,0,40411,37717.180187
16,2005,3,6,1,40408,37123.3163326
16,2005,3,6,2,40840,39009.7175745
16,2005,3,6,3,41700,39506.4340696
16,2005,3,6,4,42943,42092.6416989
16,2005,3,6,5,41868,41612.1865728
16,2005,3,6,6,44830,40593.4748229
16,2005,3,6,7,46715,45732.3397462
16,2005,3,6,8,44652,47791.2151209
16,2005,3,6,9,40156,37744.337765
16,2005,3,6,10,34912,30593.6137239
