,zone,year,month,day,hour,actual,predicted_NN
0,5,2005,3,6,0,9061,10484.833984375
1,5,2005,3,6,1,8697,9548.1328125
2,5,2005,3,6,2,8595,9268.466796875
3,5,2005,3,6,3,8669,9488.2822265625
4,5,2005,3,6,4,8941,10239.44140625
5,5,2005,3,6,5,9360,9363.423828125
6,5,2005,3,6,6,10058,11989.6630859375
7,5,2005,3,6,7,11353,12041.2412109375
8,5,2005,3,6,8,11357,9767.509765625
9,5,2005,3,6,9,10743,8915.009765625
10,5,2005,3,6,10,9518,8743.2119140625
11,5,2005,3,6,11,8708,8382.6142578125
12,5,2005,3,6,12,7979,8489.146484375
13,5,2005,3,6,13,7666,6381.78955078125
14,5,2005,3,6,14,7139,6025.349609375
15,5,2005,3,6,15,6799,5963.0234375
16,5,2005,3,6,16,6821,6267.71875
17,5,2005,3,6,17,7513,6652.556640625
18,5,2005,3,6,18,9078,7568.7412109375
19,5,2005,3,6,19,9787,8771.6845703125
20,5,2005,3,6,20,9346,8834.375
21,5,2005,3,6,21,8559,8305.12890625
22,5,2005,3,6,22,7470,7646.93310546875
23,5,2005,3,6,23,6591,7135.90673828125
24,5,2005,3,7,0,6157,6652.9580078125
25,5,2005,3,7,1,6051,6452.65966796875
26,5,2005,3,7,2,6105,6616.474609375
27,5,2005,3,7,3,6328,6683.90966796875
28,5,2005,3,7,4,6946,6834.21435546875
29,5,2005,3,7,5,8207,7971.39892578125
30,5,2005,3,7,6,9959,8634.666015625
31,5,2005,3,7,7,9431,8678.337890625
32,5,2005,3,7,8,8204,9043.23828125
33,5,2005,3,7,9,7308,6605.1796875
34,5,2005,3,7,10,6306,6042.41064453125
35,5,2005,3,7,11,5798,5659.4560546875
36,5,2005,3,7,12,5472,5275.69140625
37,5,2005,3,7,13,5267,5087.375
38,5,2005,3,7,14,5087,5043.58837890625
39,5,2005,3,7,15,5259,5052.27978515625
40,5,2005,3,7,16,5686,5488.02734375
41,5,2005,3,7,17,6445,6054.7236328125
42,5,2005,3,7,18,7933,7048.36376953125
43,5,2005,3,7,19,8730,8049.6162109375
44,5,2005,3,7,20,8210,7768.240234375
45,5,2005,3,7,21,7195,7153.7861328125
46,5,2005,3,7,22,5944,6334.8017578125
47,5,2005,3,7,23,5027,5590.05712890625
48,5,2005,3,8,0,4464,5798.27197265625
49,5,2005,3,8,1,4218,5567.48828125
50,5,2005,3,8,2,4226,5533.384765625
51,5,2005,3,8,3,4352,5747.0927734375
52,5,2005,3,8,4,4892,6311.9033203125
53,5,2005,3,8,5,5862,6895.12890625
54,5,2005,3,8,6,7840,7561.2919921875
55,5,2005,3,8,7,8201,8356.93359375
56,5,2005,3,8,8,8267,7472.1630859375
57,5,2005,3,8,9,8866,8964.86328125
58,5,2005,3,8,10,9522,8957.947265625
59,5,2005,3,8,11,9716,10490.09375
60,5,2005,3,8,12,9540,9146.23046875
61,5,2005,3,8,13,9045,8787.69140625
62,5,2005,3,8,14,8516,8593.1494140625
63,5,2005,3,8,15,8570,8570.21484375
64,5,2005,3,8,16,9412,9941.923828125
65,5,2005,3,8,17,10981,11133.40625
66,5,2005,3,8,18,12906,12401.9111328125
67,5,2005,3,8,19,13654,12995.2353515625
68,5,2005,3,8,20,13358,12772.173828125
69,5,2005,3,8,21,12682,12134.423828125
70,5,2005,3,8,22,11666,11379.548828125
71,5,2005,3,8,23,10819,10768.79296875
72,5,2005,3,9,0,10129,10630.5263671875
73,5,2005,3,9,1,9952,10677.97265625
74,5,2005,3,9,2,9984,10762.4873046875
75,5,2005,3,9,3,10230,11015.74609375
76,5,2005,3,9,4,10986,11534.890625
77,5,2005,3,9,5,12014,12450.42578125
78,5,2005,3,9,6,13265,13334.158203125
79,5,2005,3,9,7,12483,12762.0947265625
80,5,2005,3,9,8,12395,12498.1865234375
81,5,2005,3,9,9,10249,10845.287109375
82,5,2005,3,9,10,9354,10073.5693359375
83,5,2005,3,9,11,8754,9542.7421875
84,5,2005,3,9,12,8313,9084.07421875
85,5,2005,3,9,13,7858,8614.380859375
86,5,2005,3,9,14,7488,8391.0166015625
87,5,2005,3,9,15,7414,8259.15234375
88,5,2005,3,9,16,7962,8683.4384765625
89,5,2005,3,9,17,9212,9701.4296875
90,5,2005,3,9,18,11234,11187.5908203125
91,5,2005,3,9,19,12307,12009.009765625
92,5,2005,3,9,20,12353,12252.10546875
93,5,2005,3,9,21,11430,11682.47265625
94,5,2005,3,9,22,10527,10962.791015625
95,5,2005,3,9,23,9682,10787.212890625
96,5,2005,3,10,0,9307,10662.7978515625
97,5,2005,3,10,1,9389,10688.8251953125
98,5,2005,3,10,2,9641,10803.3046875
99,5,2005,3,10,3,10129,11038.806640625
100,5,2005,3,10,4,10919,10764.857421875
101,5,2005,3,10,5,12187,12401.14453125
102,5,2005,3,10,6,13846,13250.9560546875
103,5,2005,3,10,7,13329,12579.19921875
104,5,2005,3,10,8,11233,11394.513671875
105,5,2005,3,10,9,9633,10969.44140625
106,5,2005,3,10,10,8683,9444.705078125
107,5,2005,3,10,11,8168,8829.447265625
108,5,2005,3,10,12,7604,8372.9765625
109,5,2005,3,10,13,7039,7799.8603515625
110,5,2005,3,10,14,6741,7463.533203125
111,5,2005,3,10,15,6683,7531.9423828125
112,5,2005,3,10,16,7442,8213.0634765625
113,5,2005,3,10,17,8651,9028.771484375
114,5,2005,3,10,18,10278,10013.044921875
115,5,2005,3,10,19,11176,10510.185546875
116,5,2005,3,10,20,11030,10861.8330078125
117,5,2005,3,10,21,10028,10712.98046875
118,5,2005,3,10,22,8902,9254.92578125
119,5,2005,3,10,23,8059,8577.8203125
120,5,2005,3,11,0,7582,7757.48388671875
121,5,2005,3,11,1,7560,9157.30859375
122,5,2005,3,11,2,7673,9274.828125
123,5,2005,3,11,3,8136,9491.484375
124,5,2005,3,11,4,8979,9873.58984375
125,5,2005,3,11,5,10264,10404.3916015625
126,5,2005,3,11,6,12557,10779.826171875
127,5,2005,3,11,7,11864,10798.7392578125
128,5,2005,3,11,8,9858,9718.640625
129,5,2005,3,11,9,8496,9478.388671875
130,5,2005,3,11,10,7601,7190.1640625
131,5,2005,3,11,11,7300,6678.291015625
132,5,2005,3,11,12,7403,6367.4248046875
133,5,2005,3,11,13,7026,6300.32080078125
134,5,2005,3,11,14,6527,8018.28125
135,5,2005,3,11,15,6528,8265.6806640625
136,5,2005,3,11,16,6976,8641.62109375
137,5,2005,3,11,17,7984,8989.513671875
138,5,2005,3,11,18,9110,9283.0390625
139,5,2005,3,11,19,9444,10064.318359375
140,5,2005,3,11,20,9250,9666.4453125
